mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3219907283782959,0.029392149096652668,0.02090592384338379,0.002613301055290219,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9201388888888888,0.9131944444444444,0.9233449477351916,0.9616724738675958,0.926829268292683,0.9290360046457607,0.01692637371537227,36
0.6041918277740479,0.04378080097369447,0.03665647506713867,0.004307582908897593,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9409722222222222,0.9375,0.9303135888501742,0.9616724738675958,0.9372822299651568,0.9415481029810298,0.010640686634962985,31
1.2061357975006104,0.0914312204569609,0.06650938987731933,0.003332049375318986,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9407665505226481,0.9485070654277973,0.012895087477574018,28
0.31230363845825193,0.020884924881343542,0.019935464859008788,0.0017030253130626497,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.9305555555555556,0.8993055555555556,0.9442508710801394,0.9512195121951219,0.9303135888501742,0.9311290166473093,0.017829960914637583,34
0.6313066482543945,0.039068731141557504,0.036098814010620116,0.004467220528475703,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9444444444444444,0.9305555555555556,0.9407665505226481,0.9616724738675958,0.926829268292683,0.9408536585365853,0.012239761842046157,32
1.1887439250946046,0.028324378593931464,0.06752114295959473,0.005526470391621314,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9372822299651568,0.9478102013162989,0.01337960886938385,29
0.3206658840179443,0.02327914620916525,0.021700334548950196,0.0062458889360512285,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.9270833333333334,0.9027777777777778,0.9337979094076655,0.9512195121951219,0.9372822299651568,0.930432152535811,0.015914428893445354,35
0.6492279529571533,0.04480518084613972,0.041814994812011716,0.009578762207615223,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9479166666666666,0.9201388888888888,0.9337979094076655,0.9547038327526133,0.9337979094076655,0.9380710414247,0.01209683837042363,33
1.2185794830322265,0.06541138018964684,0.06949653625488281,0.00517380890627533,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.9583333333333334,0.9305555555555556,0.9337979094076655,0.9616724738675958,0.9303135888501742,0.9429345722028648,0.014030243648110953,30
0.4001144886016846,0.025289128816006937,0.021422910690307616,0.005294968838700661,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9791666666666666,0.9583333333333334,0.9616724738675958,0.9895470383275261,0.9512195121951219,0.9679878048780488,0.01417064122683014,24
0.7728583335876464,0.05921299954401758,0.03681459426879883,0.0025072739777193586,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.9618055555555556,0.9616724738675958,0.9895470383275261,0.9686411149825784,0.9721665698799846,0.010779494790209836,11
1.525211477279663,0.09839013490251175,0.07523798942565918,0.0072453477365616295,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9756944444444444,0.96875,0.9651567944250871,0.9895470383275261,0.9721254355400697,0.9742547425474255,0.00840875556381722,3
0.36888608932495115,0.01946729964283927,0.01978459358215332,0.002413304286692585,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9722222222222222,0.9583333333333334,0.9581881533101045,0.9860627177700348,0.9651567944250871,0.9679926442121565,0.010410468395296706,23
0.7364628791809082,0.039003942919484676,0.036675453186035156,0.006356479346199757,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9722222222222222,0.9652777777777778,0.9581881533101045,0.9790940766550522,0.9686411149825784,0.9686846689895472,0.00696642945718715,22
1.5169174671173096,0.09693888470875324,0.07403073310852051,0.010174678737559827,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9722222222222222,0.96875,0.9616724738675958,0.9860627177700348,0.975609756097561,0.9728634339914828,0.008053973647918574,9
0.37879648208618166,0.03198093303682268,0.021732378005981445,0.002958701304958847,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.96875,0.9618055555555556,0.9616724738675958,0.9790940766550522,0.9477351916376306,0.9638114595431668,0.010246881163853278,27
0.7628268718719482,0.06767827917194422,0.03795833587646484,0.00235284205281731,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.96875,0.9652777777777778,0.9651567944250871,0.9825783972125436,0.9616724738675958,0.9686870886566007,0.007297446264292534,21
1.4457821369171142,0.08135117225225708,0.06910028457641601,0.003840262661668373,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.96875,0.9652777777777778,0.9616724738675958,0.9895470383275261,0.9651567944250871,0.9700808168795974,0.009987194450699628,15
0.4066468238830566,0.02186595550783652,0.021219635009765626,0.0034536485735766932,15,2,50,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 50}",0.9791666666666666,0.96875,0.9547038327526133,0.9895470383275261,0.9686411149825784,0.9721617305458767,0.011663026119676359,12
0.8663856029510498,0.06284313145950149,0.04420328140258789,0.012554889517246294,15,2,100,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.96875,0.9686411149825784,0.9860627177700348,0.9686411149825784,0.9742523228803716,0.0071677481474177645,4
1.5860163688659668,0.11188158965068376,0.07638664245605468,0.010972244434120138,15,2,200,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.9791666666666666,0.96875,0.9616724738675958,0.9825783972125436,0.9721254355400697,0.9728585946573751,0.007440614287265521,10
0.3773367881774902,0.012875452811328136,0.01929788589477539,0.0012644440401217072,15,5,50,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 50}",0.9756944444444444,0.9722222222222222,0.9581881533101045,0.9825783972125436,0.9581881533101045,0.9693742740998837,0.009722785871478753,17
0.7845663547515869,0.05995900026845415,0.03810439109802246,0.004623241725801401,15,5,100,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",0.9756944444444444,0.96875,0.9581881533101045,0.9930313588850174,0.9721254355400697,0.9735578784359273,0.011359378444771872,6
1.5450439929962159,0.11029346422367611,0.07562341690063476,0.009987029189171052,15,5,200,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",0.9791666666666666,0.9652777777777778,0.9686411149825784,0.9860627177700348,0.975609756097561,0.9749516066589237,0.007417033801929523,1
0.38062481880187987,0.03781898593940391,0.02419586181640625,0.010639277576147698,15,10,50,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 50}",0.9652777777777778,0.9548611111111112,0.9547038327526133,0.9790940766550522,0.9651567944250871,0.9638187185443282,0.00895070656701332,25
0.6930074214935302,0.006126402723759429,0.035145139694213866,0.0018883750243696832,15,10,100,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",0.96875,0.9513888888888888,0.9651567944250871,0.9895470383275261,0.9686411149825784,0.968696767324816,0.012221569423531541,18
1.47396879196167,0.05847123596260029,0.07129898071289062,0.006426733937133529,15,10,200,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",0.9652777777777778,0.9652777777777778,0.9651567944250871,0.9860627177700348,0.9616724738675958,0.9686895083236546,0.008795760992089114,19
0.38297195434570314,0.007484029254907474,0.019570398330688476,0.0008546275032777587,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9756944444444444,0.96875,0.9547038327526133,0.9895470383275261,0.9686411149825784,0.9714672861014325,0.011323696952338078,13
0.7621988773345947,0.04643024422494536,0.03829259872436523,0.004401985748426487,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.96875,0.9651567944250871,0.9860627177700348,0.9686411149825784,0.9735554587688734,0.007819180946662091,8
1.6470781326293946,0.07121656351984057,0.07605490684509278,0.005807360110941238,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9756944444444444,0.96875,0.9616724738675958,0.9860627177700348,0.975609756097561,0.9735578784359273,0.00811818526305572,6
0.3834561824798584,0.0207785939797312,0.023134708404541016,0.004181588475523466,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9756944444444444,0.9722222222222222,0.9651567944250871,0.9825783972125436,0.9581881533101045,0.9707680023228804,0.008433365522720337,14
0.8074348926544189,0.036485823901383364,0.036509132385253905,0.0015913375083058616,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9722222222222222,0.96875,0.9616724738675958,0.9930313588850174,0.9721254355400697,0.9735602981029811,0.010463563623410733,5
1.5668808460235595,0.08399406490837776,0.06705121994018555,0.0037707411467044457,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9791666666666666,0.9652777777777778,0.9686411149825784,0.9860627177700348,0.975609756097561,0.9749516066589237,0.007417033801929523,1
0.3786039352416992,0.031043939846072004,0.018923044204711914,0.0010373278882500397,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9652777777777778,0.9548611111111112,0.9547038327526133,0.9790940766550522,0.9651567944250871,0.9638187185443282,0.00895070656701332,25
0.7138185501098633,0.01393228124000244,0.03577742576599121,0.0034736052212817987,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9722222222222222,0.9513888888888888,0.9651567944250871,0.9895470383275261,0.9686411149825784,0.9693912117692605,0.012303239646165105,16
1.2237247467041015,0.06826448629383412,0.04304428100585937,0.0024253495712363003,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9652777777777778,0.9652777777777778,0.9651567944250871,0.9860627177700348,0.9616724738675958,0.9686895083236546,0.008795760992089114,19
